plot,treatment,colour,year,grain
19,N1+N1+N1 KMg,#FF8C00,1974,3.86
21,FYM N2,#8B0000,1974,7.02
22,FYM,#FF0000,1974,6.86
3,Nil,#00BFFF,1974,1.91
5,PKMg,#FF00FF,1974,2.16
6,N1 PKMg,#FF4500,1974,4.06
7,N2 PKMg,#9ACD32,1974,5.7
8,N3 PKMg,#00FA9A,1974,6.27
9,N4 PKMg,#00FFFF,1974,6.48
10,N4,#8FBC8F,1975,1.98
11,N4 PMg,#7FFFD4,1975,1.73
12,N1+N3+N1 PKMg,#228B22,1975,1.81
13,N4 PK,#6B8E23,1975,1.68
14,N4 PKMg*,#008080,1975,3.18
15,N5 PKMg,#00008B,1975,4.34
16,N6 PKMg,#7B68EE,1975,3.73
17,N1+N4+N1 PKMg,#32CD32,1975,3.33
18,N1+N2+N1 PKMg,#FFD700,1975,3.75
19,N1+N1+N1 KMg,#FF8C00,1975,2.09
21,FYM N2,#8B0000,1975,5.08
22,FYM,#FF0000,1975,3.94
3,Nil,#00BFFF,1975,1.1
5,PKMg,#FF00FF,1975,1.24
6,N1 PKMg,#FF4500,1975,2.61
7,N2 PKMg,#9ACD32,1975,3.41
8,N3 PKMg,#00FA9A,1975,4.51
9,N4 PKMg,#00FFFF,1975,5.23
10,N4,#8FBC8F,1976,0.65
11,N4 PMg,#7FFFD4,1976,2.05
12,N1+N3+N1 PKMg,#228B22,1976,2.64
13,N4 PK,#6B8E23,1976,3.5
14,N4 PKMg*,#008080,1976,3.48
15,N5 PKMg,#00008B,1976,3.25
16,N6 PKMg,#7B68EE,1976,3.61
17,N1+N4+N1 PKMg,#32CD32,1976,3.46
18,N1+N2+N1 PKMg,#FFD700,1976,3.46
19,N1+N1+N1 KMg,#FF8C00,1976,3.42
21,FYM N2,#8B0000,1976,3.43
22,FYM,#FF0000,1976,4.09
3,Nil,#00BFFF,1976,1.12
5,PKMg,#FF00FF,1976,1.77
6,N1 PKMg,#FF4500,1976,2.68
7,N2 PKMg,#9ACD32,1976,3.21
8,N3 PKMg,#00FA9A,1976,3.39
9,N4 PKMg,#00FFFF,1976,4.01
10,N4,#8FBC8F,1977,3.07
11,N4 PMg,#7FFFD4,1977,1.14
12,N1+N3+N1 PKMg,#228B22,1977,1.88
13,N4 PK,#6B8E23,1977,2.84
14,N4 PKMg*,#008080,1977,3.11
15,N5 PKMg,#00008B,1977,4.16
16,N6 PKMg,#7B68EE,1977,3.7
17,N1+N4+N1 PKMg,#32CD32,1977,2.73
18,N1+N2+N1 PKMg,#FFD700,1977,3.89
19,N1+N1+N1 KMg,#FF8C00,1977,2.72
21,FYM N2,#8B0000,1977,4.62
22,FYM,#FF0000,1977,5.88
3,Nil,#00BFFF,1977,1.94
5,PKMg,#FF00FF,1977,1.38
6,N1 PKMg,#FF4500,1977,2.53
7,N2 PKMg,#9ACD32,1977,3.94
8,N3 PKMg,#00FA9A,1977,5.42
9,N4 PKMg,#00FFFF,1977,4.01
10,N4,#8FBC8F,1978,3.09
11,N4 PMg,#7FFFD4,1978,3.62
12,N1+N3+N1 PKMg,#228B22,1978,3.9
13,N4 PK,#6B8E23,1978,6.07
14,N4 PKMg*,#008080,1978,5.81
15,N5 PKMg,#00008B,1978,5.95
16,N6 PKMg,#7B68EE,1978,5.84
17,N1+N4+N1 PKMg,#32CD32,1978,5.84
18,N1+N2+N1 PKMg,#FFD700,1978,5.84
19,N1+N1+N1 KMg,#FF8C00,1978,3.92
21,FYM N2,#8B0000,1978,5.97
22,FYM,#FF0000,1978,6.62
3,Nil,#00BFFF,1978,1.65
5,PKMg,#FF00FF,1978,2.23
6,N1 PKMg,#FF4500,1978,3.94
7,N2 PKMg,#9ACD32,1978,5.62
8,N3 PKMg,#00FA9A,1978,6.05
9,N4 PKMg,#00FFFF,1978,6.3
10,N4,#8FBC8F,1979,2.04
11,N4 PMg,#7FFFD4,1979,2.98
12,N1+N3+N1 PKMg,#228B22,1979,4.61
13,N4 PK,#6B8E23,1979,6.04
14,N4 PKMg*,#008080,1979,6.27
15,N5 PKMg,#00008B,1979,6.69
16,N6 PKMg,#7B68EE,1979,6.34
17,N1+N4+N1 PKMg,#32CD32,1979,6.37
18,N1+N2+N1 PKMg,#FFD700,1979,6.54
19,N1+N1+N1 KMg,#FF8C00,1979,3.25
21,FYM N2,#8B0000,1979,7.92
22,FYM,#FF0000,1979,5.72
3,Nil,#00BFFF,1979,1.04
5,PKMg,#FF00FF,1979,1.35
6,N1 PKMg,#FF4500,1979,3.96
7,N2 PKMg,#9ACD32,1979,6.04
8,N3 PKMg,#00FA9A,1979,6.6
9,N4 PKMg,#00FFFF,1979,7.31
10,N4,#8FBC8F,1980,2.75
11,N4 PMg,#7FFFD4,1980,4.25
12,N1+N3+N1 PKMg,#228B22,1980,4.95
13,N4 PK,#6B8E23,1980,6.32
14,N4 PKMg*,#008080,1980,3.77
15,N5 PKMg,#00008B,1980,6.83
16,N6 PKMg,#7B68EE,1980,5.91
17,N1+N4+N1 PKMg,#32CD32,1980,6.89
18,N1+N2+N1 PKMg,#FFD700,1980,6.67
19,N1+N1+N1 KMg,#FF8C00,1980,4.08
21,FYM N2,#8B0000,1980,8.16
22,FYM,#FF0000,1980,6.47
3,Nil,#00BFFF,1980,1.76
5,PKMg,#FF00FF,1980,1.91
6,N1 PKMg,#FF4500,1980,4.36
7,N2 PKMg,#9ACD32,1980,6.24
8,N3 PKMg,#00FA9A,1980,7.2
9,N4 PKMg,#00FFFF,1980,7.62
10,N4,#8FBC8F,1981,2.79
11,N4 PMg,#7FFFD4,1981,3.14
12,N1+N3+N1 PKMg,#228B22,1981,3.98
13,N4 PK,#6B8E23,1981,6.88
14,N4 PKMg*,#008080,1981,6.08
15,N5 PKMg,#00008B,1981,6.71
16,N6 PKMg,#7B68EE,1981,6.25
17,N1+N4+N1 PKMg,#32CD32,1981,6.71
